	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
164	R1:147			If we want to open up for the public, we could do a mix: we explain what are the results, even the bad results, and we offer a basic explaination [that is] this is the purpose why I was looking for this and that, and this is why we chose this and that, without entering in details.	{'failure as innovation'}	perception	{'failure as innovation'}	{'failure as innovation'}	{'innovation-as-failure framing'}
165	R1:149			It could be a trade-off to leave details out.	{'trade-off'}	uncertainty	{'trade-off'}	{'trade-offs involved'}	{'trade-offs and balancing'}
165	R1:149			It could be a trade-off to leave details out.	{'trade-off'}	appropriate language	{'trade-off'}	{'trade-offs involved'}	{'trade-offs and balancing'}
166	R1:152			Respondent - Well, I am not objective because I have absolutely no intellectual property right.	{'policy'}	perception	{'policy'}	{'policy framework'}	{'policy framework'}
167	R1:153			If tomorrow I have an idea that lead to, say, hot water, that is not mine even I did it myself, because I have signed a contract with my employer that says that all things are of the employer even if the project is funded by the European Community.	{'policy', 'critics about current policy'}	critics	{'policy', 'critics about current policy'}	{'criticism of current policy', 'policy framework'}	{'criticism of policy', 'policy framework'}
167	R1:153			If tomorrow I have an idea that lead to, say, hot water, that is not mine even I did it myself, because I have signed a contract with my employer that says that all things are of the employer even if the project is funded by the European Community.	{'policy', 'critics about current policy'}	perception	{'policy', 'critics about current policy'}	{'criticism of current policy', 'policy framework'}	{'criticism of policy', 'policy framework'}
168	R1:154			So, this thing for me is …  Let’s say, in theory, who makes a discovery, or arrive to the point [leading to it], has intellectual property, but in practice it does not work like that nowhere… There is nobody that enter an organisation and is not requested to sign that contract, so the intellectual property already is not ours.	{'policy', 'critics about current policy'}	critics	{'policy', 'critics about current policy'}	{'criticism of current policy', 'policy framework'}	{'criticism of policy', 'policy framework'}
168	R1:154			So, this thing for me is …  Let’s say, in theory, who makes a discovery, or arrive to the point [leading to it], has intellectual property, but in practice it does not work like that nowhere… There is nobody that enter an organisation and is not requested to sign that contract, so the intellectual property already is not ours.	{'policy', 'critics about current policy'}	perception	{'policy', 'critics about current policy'}	{'criticism of current policy', 'policy framework'}	{'criticism of policy', 'policy framework'}
169	R1:155			[And in my opionion] is strange that the European Community fund the intellectual property rights that remains of the private companies, in my opinion is a bit of a problem.	{'critics about current policy', 'EU property rights critics'}	critics	{'critics about current policy', 'EU property rights critics'}	{'criticism of EU property rights', 'criticism of current policy'}	{'criticism of property rights', 'criticism of policy'}
169	R1:155			[And in my opionion] is strange that the European Community fund the intellectual property rights that remains of the private companies, in my opinion is a bit of a problem.	{'critics about current policy', 'EU property rights critics'}	current situation	{'critics about current policy', 'EU property rights critics'}	{'criticism of EU property rights', 'criticism of current policy'}	{'criticism of property rights', 'criticism of policy'}
170	R1:157			[...] It is ackward, because the property right belongs to the consortium but not to the European Community.	{'critics about current policy', 'EU property rights critics', 'EU policy'}	critics	{'critics about current policy', 'EU property rights critics', 'EU policy'}	{'criticism of EU property rights', 'criticism of current policy', 'EU policy framework'}	{'criticism of property rights', 'criticism of policy', 'EU policy framework'}
170	R1:157			[...] It is ackward, because the property right belongs to the consortium but not to the European Community.	{'critics about current policy', 'EU property rights critics', 'EU policy'}	current situation	{'critics about current policy', 'EU property rights critics', 'EU policy'}	{'criticism of EU property rights', 'criticism of current policy', 'EU policy framework'}	{'criticism of property rights', 'criticism of policy', 'EU policy framework'}
171	R1:158			They fund us, but in the end knowledge remains of the private consortium.	{'critics about current policy', 'EU property rights critics', 'EU policy'}	critics	{'critics about current policy', 'EU property rights critics', 'EU policy'}	{'criticism of EU property rights', 'criticism of current policy', 'EU policy framework'}	{'criticism of property rights', 'criticism of policy', 'EU policy framework'}
171	R1:158			They fund us, but in the end knowledge remains of the private consortium.	{'critics about current policy', 'EU property rights critics', 'EU policy'}	current situation	{'critics about current policy', 'EU property rights critics', 'EU policy'}	{'criticism of EU property rights', 'criticism of current policy', 'EU policy framework'}	{'criticism of property rights', 'criticism of policy', 'EU policy framework'}
172	R1:164			Respondent - Yes, yes, yes.	{'reaching out to prior', 'valuing authorship'}	insight	{'reaching out to prior', 'valuing authorship'}	{'valuing authorship', 'use of prior work'}	{'knowledge reuse and prior art', 'authorship and rewards'}
172	R1:164			Respondent - Yes, yes, yes.	{'reaching out to prior', 'valuing authorship'}	opportunity	{'reaching out to prior', 'valuing authorship'}	{'valuing authorship', 'use of prior work'}	{'knowledge reuse and prior art', 'authorship and rewards'}
173	R1:165			It would be absolutely interesting because I would have a way to reach out to people who priorly worked on them.	{'reaching out to prior', 'valuing authorship'}	opportunity	{'reaching out to prior', 'valuing authorship'}	{'valuing authorship', 'use of prior work'}	{'knowledge reuse and prior art', 'authorship and rewards'}
174	R1:166			I am not particularly interested in property rights, honestly, I am interested in knowing who worked on that things, so that I can call and [confront my work rapidly].	{'personal purpose VS working motivation'}	insight	{'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation'}	{'tensions between roles and purposes'}
174	R1:166			I am not particularly interested in property rights, honestly, I am interested in knowing who worked on that things, so that I can call and [confront my work rapidly].	{'personal purpose VS working motivation'}	perception	{'personal purpose VS working motivation'}	{'tension between personal purpose and work motivation'}	{'tensions between roles and purposes'}
175	R1:170			but can you image asking to everybody about it ? But in project [X] we are small, I think it would be nice if we we all could decide together.	{'property rights', 'authorship'}	perception	{'property rights', 'authorship'}	{'authorship attribution', 'property rights'}	{'property rights governance', 'valuing authorship'}
176	R1:171			But in the end there are people who has different power, I am a PhD researcher, I will never have a dominant word about a certain argument like disclosures and such.	{'decision making depending on roles'}	current situation	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
176	R1:171			But in the end there are people who has different power, I am a PhD researcher, I will never have a dominant word about a certain argument like disclosures and such.	{'decision making depending on roles'}	perception	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
177	R1:172			It will always be that it is up to project managers and executives, the decision if going for patents or disclosure of some actions.	{'decision making depending on roles'}	current situation	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
178	R1:173			It is not a matter of being bad, it is a matter of experience, too.	{'decision making depending on roles'}	current situation	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
179	R1:174			Of knowledge of the market of knowledge, also of the aspects of the Community.	{'decision making depending on roles'}	current situation	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
180	R1:175			It would be wrong if the decision for disclosing to the public would be up to me.	{'decision making depending on roles'}	current situation	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
180	R1:175			It would be wrong if the decision for disclosing to the public would be up to me.	{'decision making depending on roles'}	perception	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
181	R1:176			It would be definately more sound to have voting system, it is a bit like when one vote for a politician : we all are for the right to vote, [..] but also true that this capacity to grant everybody the possibility to weight own words, in the end is not an optimal solution, and that is a fact.	{'voting system as decision making'}	opportunity	{'voting system as decision making'}	{'voting as decision-making'}	{'voting and decision-making governance'}
182	R1:178			So, in projects where there are money involved, where there are big stakes, it is also fair that who has a role of supervision and comprehension of the big picture of the project, has right to weight their judgment.	{'voting system moderated by experience'}	opportunity	{'voting system moderated by experience'}	{'experience-moderated voting'}	{'experience-moderated voting'}
182	R1:178			So, in projects where there are money involved, where there are big stakes, it is also fair that who has a role of supervision and comprehension of the big picture of the project, has right to weight their judgment.	{'voting system moderated by experience'}	critics	{'voting system moderated by experience'}	{'experience-moderated voting'}	{'experience-moderated voting'}
183	R1:179			So, yes, a voting system might be interesting, but a veto as well.	{'voting system moderated by experience'}	opportunity	{'voting system moderated by experience'}	{'experience-moderated voting'}	{'experience-moderated voting'}
184	R1:180			[..] Anyway, it should be a well calibrated [measure].	{'voting system moderated by experience'}	uncertainty	{'voting system moderated by experience'}	{'experience-moderated voting'}	{'experience-moderated voting'}
185	R2:4			Respondent - I am a Research Associate working on [energy harvesting procedures] with [Respondent’s Supervisor] and [Research Coordinator].	{'phd', 'researcher'}	current situation	{'phd', 'researcher'}	{'researcher role', 'phd role'}	{'researcher role', 'research roles and responsibilities'}
186	R2:8			Respondent - I would say…  A process that allows the synthesis of new information? We use publications and aim to produce new [materials and sensors].	{'innovation is synthesis of new info'}	perception	{'innovation is synthesis of new info'}	{'innovation as synthesis of information'}	{'innovation definition and nature'}
187	R2:9			We produce peer reviewed publications that tell how we achieved properties of materials or devices, and these properties will be hopefully  used for engineering them in industrial applications.	{'prior enabling posterior', 'available resources as assets'}	assets	{'prior enabling posterior', 'available resources as assets'}	{'resources considered as assets', 'prior steps enabling later outcomes'}	{'prior enabling posterior', 'resource management and constraints'}
187	R2:9			We produce peer reviewed publications that tell how we achieved properties of materials or devices, and these properties will be hopefully  used for engineering them in industrial applications.	{'prior enabling posterior', 'available resources as assets'}	current situation	{'prior enabling posterior', 'available resources as assets'}	{'resources considered as assets', 'prior steps enabling later outcomes'}	{'prior enabling posterior', 'resource management and constraints'}
188	R2:12			I think innovation … It is useful when it somehow enables some societal benefit.	{'utility of innovation as societal benefits'}	perception	{'utility of innovation as societal benefits'}	{'societal utility of innovation'}	{'societal utility and impact'}
189	R2:13			Like, for example, when my work can be used by project [X].	{'utility of innovation as societal benefits'}	perception	{'utility of innovation as societal benefits'}	{'societal utility of innovation'}	{'societal utility and impact'}
190	R2:16			Respondent - Well yes, I am working on [ materials ] that ideally would allow project [X] to develop [colloidal-based computation].	{'utility of innovation as business application'}	insight	{'utility of innovation as business application'}	{'business utility of innovation'}	{'business utility of innovation'}
191	R2:17			So there will be an industrial application for it.	{'utility of innovation as business application'}	insight	{'utility of innovation as business application'}	{'business utility of innovation'}	{'business utility of innovation'}
192	R2:19			Some may be named after business names too, like platforms or frameworks for agile project development, such as kanban, scrum or others,  that let you monitor progress.	{'management platforms'}	insight	{'management platforms'}	{'management platforms'}	{'innovation management tools'}
193	R2:20			Respondent - I see, well not particularly.	{'management platforms'}	insight	{'management platforms'}	{'management platforms'}	{'innovation management tools'}
194	R2:21			We use charts to see the evolution of projects, though, based on results.	{'management platforms'}	insight	{'management platforms'}	{'management platforms'}	{'innovation management tools'}
195	R2:24			Respondent - Part of my work concerns sensors measuring… We also define our procedures to test performances, compare them with [performances of materials] found in literature.	{'practice'}	insight	{'practice'}	{'practice'}	{'practice'}
195	R2:24			Respondent - Part of my work concerns sensors measuring… We also define our procedures to test performances, compare them with [performances of materials] found in literature.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
196	R2:25			Some indicators of progress of our experiements are charts, like plots for comparing materials’ properties.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
197	R2:26			Otherwise we have KPIs associated to different properties of the [object] we are prototyping, that we define as target, and are collaborated by different teams.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
198	R2:28			Respondent - Well, we are used to keeping a research log.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
199	R2:29			Something like a diary, if you want, to annotate what we do.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
200	R2:30			But it is not used for surveys or during meetings we have periodically.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
201	R2:31			It is used to discuss things with my supervisor..	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
202	R2:32			It is used in our team for our work tasks.	{'practice'}	current situation	{'practice'}	{'practice'}	{'practice'}
203	R2:38			Respondent - As output in research … most important important output is being able find new things and possibly understand how to replicate their engineering, by improving the performances on different ..	{'utility of innovation'}	current situation	{'utility of innovation'}	{'utility of innovation'}	{'innovation value and utility'}
204	R2:40			Probably results of experiments and publications that allowed us to obtain new results, and how our results allowed to new publications and new results, until we get a satisfactory result, in terms of observations that were not done before.	{'prior enabling posterior'}	insight	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
204	R2:40			Probably results of experiments and publications that allowed us to obtain new results, and how our results allowed to new publications and new results, until we get a satisfactory result, in terms of observations that were not done before.	{'prior enabling posterior'}	assets	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
205	R2:41			So an output I would expect of a service for supporting research is in helping us generate hypothesis and experimental design, based on what we’ve been learning, to first construct a functional prototype and then improve performance on manyfolds aspects of the KPIs we’re using.	{'prior enabling posterior'}	insight	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
205	R2:41			So an output I would expect of a service for supporting research is in helping us generate hypothesis and experimental design, based on what we’ve been learning, to first construct a functional prototype and then improve performance on manyfolds aspects of the KPIs we’re using.	{'prior enabling posterior'}	opportunity	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
206	R2:46			Respondent - Well, our work is divided in different working groups, and we are working independently and we discuss periodically about integrating our results.	{'timescale', 'exposure to innovation management'}	current situation	{'timescale', 'exposure to innovation management'}	{'timescale', 'exposure to innovation management'}	{'innovation timescale and cadence', 'exposure to innovation management tools'}
207	R2:49			even if I don’t know there is a manager, I know there is but I cannot feel it.	{'', 'management practices'}	appropriate language	{'', 'management practices'}	{'', 'management practices'}	{'', 'management practices'}
207	R2:49			even if I don’t know there is a manager, I know there is but I cannot feel it.	{'', 'management practices'}	perception	{'', 'management practices'}	{'', 'management practices'}	{'', 'management practices'}
208	R2:50			So it is very friendly management, and I love it, I love it, I think it is very nice.	{'', 'management practices'}	appropriate language	{'', 'management practices'}	{'', 'management practices'}	{'', 'management practices'}
208	R2:50			So it is very friendly management, and I love it, I love it, I think it is very nice.	{'', 'management practices'}	perception	{'', 'management practices'}	{'', 'management practices'}	{'', 'management practices'}
209	R2:52			Respondent - No, I prefer a more friendly type.	{'behaviour'}	perception	{'behaviour'}	{'participant behavior'}	{'participant behavior'}
210	R2:62			If they can help with my research questions, yes.	{'tracing intermediate steps if helping research question'}	opportunity	{'tracing intermediate steps if helping research question'}	{'conditional tracing relevance'}	{'conditional tracing criteria'}
211	R2:64			Respondent - Mmm… ok well in my work it could be a new design that leads to fabrication of [triboelectric generators] at nanoscale.	{'innovation steps as configurations'}	insight	{'innovation steps as configurations'}	{'innovation steps as configurations'}	{'innovation steps as structured configurations'}
211	R2:64			Respondent - Mmm… ok well in my work it could be a new design that leads to fabrication of [triboelectric generators] at nanoscale.	{'innovation steps as configurations'}	assets	{'innovation steps as configurations'}	{'innovation steps as configurations'}	{'innovation steps as structured configurations'}
212	R2:67			So, I may say, an innovation step is anything that will help my work towards the research objective I am working on.	{'tracing intermediate steps if helping research question'}	perception	{'tracing intermediate steps if helping research question'}	{'conditional tracing relevance'}	{'conditional tracing criteria'}
213	R2:68			I think they could be publications, technical information about material properties, experimental setups, or information that allows the likeability of my experiments to work.	{'available resources as assets'}	assets	{'available resources as assets'}	{'resources considered as assets'}	{'resource management and constraints'}
213	R2:68			I think they could be publications, technical information about material properties, experimental setups, or information that allows the likeability of my experiments to work.	{'available resources as assets'}	perception	{'available resources as assets'}	{'resources considered as assets'}	{'resource management and constraints'}
214	R2:71			Respondent - Well, one is if [it] is patentable.	{'tracing intermediate steps if patentable'}	insight	{'tracing intermediate steps if patentable'}	{'conditional tracing on patentability'}	{'conditional tracing criteria'}
215	R2:73			If an innovation can be translated to a field, it can offer value.	{'tracing intermediate steps if patentable'}	insight	{'tracing intermediate steps if patentable'}	{'conditional tracing on patentability'}	{'conditional tracing criteria'}
216	R2:74			Patents are a way to valorise industrial applications.	{'tracing intermediate steps if patentable'}	insight	{'tracing intermediate steps if patentable'}	{'conditional tracing on patentability'}	{'conditional tracing criteria'}
217	R2:75			We don’t know yet the exact field of applicability, [they may] bio-medical devices or other applications, but I may say utility of my contribution is the research that allows these options.	{'tracing intermediate steps if patentable'}		{'tracing intermediate steps if patentable'}	{'conditional tracing on patentability'}	{'conditional tracing criteria'}
218	R2:77			Respondent - Yes, they would be scientific articles, not patents.	{'tracing intermediate steps if they help publications'}	insight	{'tracing intermediate steps if they help publications'}	{'conditional tracing for publications'}	{'conditional tracing criteria'}
219	R2:78			But useful knowledge can also be learnt at conferences or, let’s say, personal interaction with colleagues.	{'not all information is traceable'}	uncertainty	{'not all information is traceable'}	{'limits of traceability'}	{'limits of traceability'}
220	R2:79			So one can also learn from them by speaking [with them] at conferences.	{'not all information is traceable'}	uncertainty	{'not all information is traceable'}	{'limits of traceability'}	{'limits of traceability'}
221	R2:80			We can learn at conferences what is not present in a publication, but useful to get an experiment working.	{'not all information is traceable'}	insight	{'not all information is traceable'}	{'limits of traceability'}	{'limits of traceability'}
222	R2:81			So if we can learn from practical aspects that are not found on literature - that would be useful.	{'not all information is traceable'}	insight	{'not all information is traceable'}	{'limits of traceability'}	{'limits of traceability'}
223	R2:83			Respondent - I think it could help everybody to be aware of where we are.	{'tracing innovation steps for awareness'}	opportunity	{'tracing innovation steps for awareness'}	{'tracing for awareness'}	{'traceability benefits'}
224	R2:84			I think carrying out information that let me understand what was tried earlier, and worked or not worked out, so that I can know what works now, or could infer hypotheses for a new experiment.	{'prior enabling posterior'}	opportunity	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
225	R2:85			The practical aspect describing how to set up a procedure and the reason for doing it may be a relevant one.	{'prior enabling posterior'}	opportunity	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
225	R2:85			The practical aspect describing how to set up a procedure and the reason for doing it may be a relevant one.	{'prior enabling posterior'}	assets	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
226	R2:89			So if we have an overview of the historical data,  we discuss it for choosing a direction.	{'tracing historical data'}	opportunity	{'tracing historical data'}	{'historical data tracing'}	{'historical data tracing'}
227	R2:90			However, it depends if it is functional to the research questions in our working groups.	{'tracing historical data', 'tracing intermediate steps if helping research question'}	uncertainty	{'tracing historical data', 'tracing intermediate steps if helping research question'}	{'conditional tracing relevance', 'historical data tracing'}	{'conditional tracing criteria', 'historical data tracing'}
228	R2:91			I would not look at the steps that others did if they did not help my research question.	{'tracing intermediate steps if helping research question'}	uncertainty	{'tracing intermediate steps if helping research question'}	{'conditional tracing relevance'}	{'conditional tracing criteria'}
229	R2:98			I think it can be help for evaluating directions… we can compare results.	{'pathaways of innovation steps is not so important for strategic decisions'}	opportunity	{'pathaways of innovation steps is not so important for strategic decisions'}	{'low strategic value of innovation pathways'}	{'innovation pathways value assessment'}
230	R2:99			But for strategy, I think that is decided by the [research coordinator] with the partners.	{'pathaways of innovation steps is not so important for strategic decisions'}	uncertainty	{'pathaways of innovation steps is not so important for strategic decisions'}	{'low strategic value of innovation pathways'}	{'innovation pathways value assessment'}
231	R2:100			So, I don’t know if they use visualizations tools in this sense, but it is not my work to choose a strategy for getting to the final results of [Project X].	{'pathaways of innovation steps is not so important for strategic decisions'}	uncertainty	{'pathaways of innovation steps is not so important for strategic decisions'}	{'low strategic value of innovation pathways'}	{'innovation pathways value assessment'}
232	R2:101			Its strategy is also somehow defined at the moment it receive funding, because it described what we are going to work on and it described the contributions of each partners.	{'pathaways of innovation steps is not so important for strategic decisions'}	uncertainty	{'pathaways of innovation steps is not so important for strategic decisions'}	{'low strategic value of innovation pathways'}	{'innovation pathways value assessment'}
233	R2:103			Let’s say I am responsibile for the strategy of my own research, but I am not responsible for overall strategy of project [X] so I cannot say.	{'pathaways of innovation steps is not so important for strategic decisions', 'personal purpose VS working purpose'}	perception	{'pathaways of innovation steps is not so important for strategic decisions', 'personal purpose VS working purpose'}	{'tension between personal and work purpose', 'low strategic value of innovation pathways'}	{'tensions between roles and purposes', 'innovation pathways value assessment'}
234	R2:109			I think often enough not to be clogged with unnecessary information.	{'timescale', 'communicate insights when it happens would be chaotic and time consuming', 'frequency of traceability', 'tracing intermediate steps if not clogging'}	uncertainty	{'timescale', 'communicate insights when it happens would be chaotic and time consuming', 'frequency of traceability', 'tracing intermediate steps if not clogging'}	{'real-time communication seen as chaotic', 'timescale', 'traceability frequency', 'conditional tracing to avoid clogging'}	{'communication timing and frequency', 'conditional tracing criteria', 'innovation timescale and cadence'}
235	R2:110			We discuss internally first, before sharing info with other partners, so that we can share what we think can be of value for everybody.	{'exposure to innovation management'}	current situation	{'exposure to innovation management'}	{'exposure to innovation management'}	{'exposure to innovation management tools'}
236	R2:111			We are used to share periodically our work  through web calls and surveys, with more or less monthly frequency.	{'timescale in month', 'exposure to innovation management'}	current situation	{'timescale in month', 'exposure to innovation management'}	{'exposure to innovation management', 'monthly timescale'}	{'innovation timescales', 'exposure to innovation management tools'}
237	R2:114			Respondent - Yes I think they could be sufficient.	{'textual format is often sufficient for tracing innovation'}	insight	{'textual format is often sufficient for tracing innovation'}	{'sufficiency of textual format'}	{'data formats for describing steps'}
238	R2:115			We keep a diary log and that is about planning and notes about the experiments.	{'textual format is often sufficient for tracing innovation'}	current situation	{'textual format is often sufficient for tracing innovation'}	{'sufficiency of textual format'}	{'data formats for describing steps'}
239	R2:116			We define what we are looking for, our observations, results, possible improvements for next trials..	{'textual format is often sufficient for tracing innovation'}	current situation	{'textual format is often sufficient for tracing innovation'}	{'sufficiency of textual format'}	{'data formats for describing steps'}
240	R2:118			Eventually those notes might be of use..	{'textual format is often sufficient for tracing innovation'}	insight	{'textual format is often sufficient for tracing innovation'}	{'sufficiency of textual format'}	{'data formats for describing steps'}
241	R2:120			But not all things are probably useful to be shared.	{'not all info necessary to be trace'}	disadvantages	{'not all info necessary to be trace'}	{'not all information traceable'}	{'limits of traceability'}
242	R2:123			I also would not have the capacity to make videos for describing what I do, I mean it would be extra work in my workflow I guess and I don’t think it would be useful for communicating with my colleagues...	{'not all info necessary to be trace'}	disadvantages	{'not all info necessary to be trace'}	{'not all information traceable'}	{'limits of traceability'}
243	R2:126			So yes, I think multimedia can be useful if functional to the scope of my research.	{'communication is appropriate to the stage of innovation'}	appropriate language	{'communication is appropriate to the stage of innovation'}	{'stage-dependent communication'}	{'communication timing and frequency'}
244	R2:127			But if something that does not distract me or I cannot find that easily in conventional ways.	{'communication is appropriate to the stage of innovation'}	disadvantages	{'communication is appropriate to the stage of innovation'}	{'stage-dependent communication'}	{'communication timing and frequency'}
245	R2:134			I think data visualization could be useful to capture a big-picture here.	{'traceability of intermediate steps for awareness'}	insight	{'traceability of intermediate steps for awareness'}	{'intermediate traceability for awareness'}	{'intermediate traceability benefits'}
246	R2:135			As a researcher I could find useful if granular enough for my scope of research, but along the development of the project it could summarize the whole picture, and maybe help to design sequences of trials.	{'opportunity', 'crossing scale of traceability', 'pathways'}	opportunity	{'opportunity', 'crossing scale of traceability', 'pathways'}	{'innovation pathways', 'opportunity', 'scalability of traceability'}	{'innovation pathways', 'opportunity', 'traceability risks and costs'}
247	R2:136			Interviewer - How much do you think important to embed information for explaining a process, in a intermediate step that could be found in a IT-service supporting research ? As an example, a process could be experiments using certain setups.	{'opportunity', 'pathways'}	opportunity	{'opportunity', 'pathways'}	{'innovation pathways', 'opportunity'}	{'innovation pathways', 'opportunity'}
248	R2:140			If I already know what to do, it could be used as research-log maybe..	{'personal purpose VS working purpose'}	insight	{'personal purpose VS working purpose'}	{'tension between personal and work purpose'}	{'tensions between roles and purposes'}
249	R2:141			if need to explain what I do and how to replicate it, or report observations, then it could be useful to tell others.	{'tracing innovation to explain'}	insight	{'tracing innovation to explain'}	{'explanatory tracing'}	{'tracing for explanation and sensemaking'}
250	R2:143			Respondent - Probably awareness of our work between differenet team units.	{'tracing innovation to explain'}	perception	{'tracing innovation to explain'}	{'explanatory tracing'}	{'tracing for explanation and sensemaking'}
251	R2:144			Results of experiments and publications that allowed us to obtain new results, and how our results allowed to new publications and new results until we get a new thing.	{'available resources as assets', 'innovation management is managing assets', 'assets as experimental setups'}	opportunity	{'available resources as assets', 'innovation management is managing assets', 'assets as experimental setups'}	{'innovation management as asset management', 'experimental setups as assets', 'resources considered as assets'}	{'resource management and constraints', 'experimental setups as assets', 'innovation management as asset governance'}
251	R2:144			Results of experiments and publications that allowed us to obtain new results, and how our results allowed to new publications and new results until we get a new thing.	{'available resources as assets', 'innovation management is managing assets', 'assets as experimental setups'}	assets	{'available resources as assets', 'innovation management is managing assets', 'assets as experimental setups'}	{'innovation management as asset management', 'experimental setups as assets', 'resources considered as assets'}	{'resource management and constraints', 'experimental setups as assets', 'innovation management as asset governance'}
252	R2:148			seniority is ok to have a final guide of directing research, so it is ok that they could also direct what is most relevant to write… expertise is important.	{'decision making depending on roles'}	perception	{'decision making depending on roles'}	{'role-dependent decision making'}	{'roles and permissions governance'}
253	R2:150			If you are thinking more as a collaborative tool, I think researchers like me could also contribute.	{'decision making should collaborative between authors at organisation level'}	opportunity	{'decision making should collaborative between authors at organisation level'}	{'collaborative decision making among authors'}	{'collaborative decision making'}
254	R2:151			Probably it would be us doing a description of work.	{'decision making should collaborative between authors at organisation level'}	opportunity	{'decision making should collaborative between authors at organisation level'}	{'collaborative decision making among authors'}	{'collaborative decision making'}
255	R2:152			But that must be functional otherwise it would be an extra work.	{'tracking innovation is a job'}	disadvantages	{'tracking innovation is a job'}	{'tracking as dedicated role'}	{'roles and permissions governance'}
256	R2:153			I mean I don’t use platforms to just annotate ideas, in order to be useful somehow there must be information that lets us see why an idea of new experiment could be relevant, and how.	{'tracking innovation is a job'}	perception	{'tracking innovation is a job'}	{'tracking as dedicated role'}	{'roles and permissions governance'}
257	R2:156			Respondent - Oh well for reporting to partners yes, I might see the use, but we are using written reports, web calls, surveys already.	"{""tracing intermediate innovation does not help address partners' scope""}"	uncertainty	"{""tracing intermediate innovation does not help address partners' scope""}"	{'limited partner relevance of tracing'}	{'traceability value assessment'}
257	R2:156			Respondent - Oh well for reporting to partners yes, I might see the use, but we are using written reports, web calls, surveys already.	"{""tracing intermediate innovation does not help address partners' scope""}"	appropriate language	"{""tracing intermediate innovation does not help address partners' scope""}"	{'limited partner relevance of tracing'}	{'traceability value assessment'}
258	R2:157			There are reports are internal use and then periodically reports for the EU community.	"{""tracing intermediate innovation does not help address partners' scope""}"	current situation	"{""tracing intermediate innovation does not help address partners' scope""}"	{'limited partner relevance of tracing'}	{'traceability value assessment'}
259	R2:158			I don’t think they can be of interest the details of our experiments and probably not everything would be disclosed, only results.	"{""tracing intermediate innovation does not help address partners' scope""}"	disadvantages	"{""tracing intermediate innovation does not help address partners' scope""}"	{'limited partner relevance of tracing'}	{'traceability value assessment'}
260	R2:159			Outside of partners as well, I don’t know if there could be interest in knowing what we do internally.	"{""tracing intermediate innovation does not help address partners' scope""}"		"{""tracing intermediate innovation does not help address partners' scope""}"	{'limited partner relevance of tracing'}	{'traceability value assessment'}
261	R2:162			Well, yes, I think communicating innovation steps, in a way, if I understand your inquiry, is kind of enabling entrepreneurship, so it is postentially useful.	{'tracing intermediate innovation might enable entepreneurship'}	opportunity	{'tracing intermediate innovation might enable entepreneurship'}	{'intermediate tracing enables entrepreneurship'}	{'tracing enables entrepreneurship'}
262	R2:163			However, I came from [Country of origin of researcher] and there is a different situation concerning making business over research.	{'enabling entrepreneurship depends on social and economics contexts'}	critics	{'enabling entrepreneurship depends on social and economics contexts'}	{'entrepreneurship depends on socio-economic context'}	{'socio-economic context for entrepreneurship'}
262	R2:163			However, I came from [Country of origin of researcher] and there is a different situation concerning making business over research.	{'enabling entrepreneurship depends on social and economics contexts'}	current situation	{'enabling entrepreneurship depends on social and economics contexts'}	{'entrepreneurship depends on socio-economic context'}	{'socio-economic context for entrepreneurship'}
262	R2:163			However, I came from [Country of origin of researcher] and there is a different situation concerning making business over research.	{'enabling entrepreneurship depends on social and economics contexts'}	perception	{'enabling entrepreneurship depends on social and economics contexts'}	{'entrepreneurship depends on socio-economic context'}	{'socio-economic context for entrepreneurship'}
